name	resolved	status	has_photo	views_3mo
Alexander the Great	Alexander the Great	OK	1	838829
Julius Caesar	Julius Caesar	OK	1	594270
Caesar Augustus	Augustus	OK	1	516529
Cleopatra	Cleopatra	OK	1	2105445
Nero	Nero	OK	1	347401
Caligula	Caligula	OK	1	304613
Marcus Aurelius	Marcus Aurelius	OK	1	483800
Constantine the Great	Constantine the Great	OK	1	253254
Spartacus	Spartacus	OK	1	173413
Hannibal	Hannibal	OK	1	293583
Leonidas	Leonidas I	OK	1	146284
Xerxes	Xerxes I	OK	1	211439
Cyrus the Great	Cyrus the Great	OK	1	231763
Boudica	Boudica	OK	1	216697
Attila the Hun	Attila	OK	1	226314
Socrates	Socrates	OK	1	303924
Plato	Plato	OK	1	291718
Aristotle	Aristotle	OK	1	324119
Homer	Homer	OK	1	1480551
Archimedes	Archimedes	OK	1	145243
Hippocrates	Hippocrates	OK	1	70532
Pythagoras	Pythagoras	OK	1	121932
Euclid	Euclid	OK	1	72484
Confucius	Confucius	OK	1	173724
Sun Tzu	Sun Tzu	OK	1	96490
Laozi	Laozi	OK	1	88023
Qin Shi Huang	Qin Shi Huang	OK	1	182290
Tutankhamun	Tutankhamun	OK	1	251517
Ramesses the Great	Ramesses II	OK	1	212586
Nefertiti	Nefertiti	OK	1	121557
Guan Yu	Guan Yu	OK	1	57596
Zhuge Liang	Zhuge Liang	OK	1	49682
Cao Cao	Cao Cao	OK	1	61571
Lu Bu	Lü Bu	OK	1	59995
Ashoka	Ashoka	OK	1	154484
Moses	Moses	OK	1	221601
Jesus Christ	Jesus	OK	1	676202
Buddha	The Buddha	OK	1	391871
Genghis Khan	Genghis Khan	OK	1	717433
Kublai Khan	Kublai Khan	OK	1	178783
Charlemagne	Charlemagne	OK	1	426545
William the Conqueror	William the Conqueror	OK	1	481494
Richard the Lionheart	Richard I of England	OK	1	331347
Saladin	Saladin	OK	1	333938
Joan of Arc	Joan of Arc	OK	1	521148
El Cid	El Cid	OK	1	103449
Robert the Bruce	Robert the Bruce	OK	1	272508
William Wallace	William Wallace	OK	1	288445
Vlad the Impaler	Vlad the Impaler	OK	1	453095
Ivan the Terrible	Ivan the Terrible	OK	1	198773
Mehmed the Conqueror	Mehmed II	OK	1	177848
Suleiman the Magnificent	Suleiman the Magnificent	OK	1	219567
Mansa Musa	Mansa Musa	OK	1	285964
Montezuma	Moctezuma II	OK	1	72366
Wu Zetian	Wu Zetian	OK	1	170849
Oda Nobunaga	Oda Nobunaga	OK	1	170203
Toyotomi Hideyoshi	Toyotomi Hideyoshi	OK	1	128211
Tokugawa Ieyasu	Tokugawa Ieyasu	OK	1	149479
Miyamoto Musashi	Miyamoto Musashi	OK	1	230049
Hattori Hanzo	Hattori Hanzō	OK	1	43839
Date Masamune	Date Masamune	OK	1	25957
Yasuke	Yasuke	OK	1	85444
Sejong the Great	Sejong the Great	OK	0	53965
Yi Sun-sin	Yi Sun-sin	OK	1	53231
Akbar the Great	Akbar	OK	1	180414
Shivaji	Shivaji	OK	1	381878
Rani Lakshmibai	Rani of Jhansi	OK	1	122703
Shaka Zulu	Shaka	OK	1	78131
Ragnar Lothbrok	Ragnar Lodbrok	OK	1	204617
Erik the Red	Erik the Red	OK	1	59333
Leif Erikson	Leif Erikson	OK	1	144698
King Henry the Eighth	Henry VIII	OK	1	995884
Anne Boleyn	Anne Boleyn	OK	1	612174
Queen Elizabeth the First	Elizabeth I	OK	1	771972
Mary, Queen of Scots	Mary, Queen of Scots	OK	1	591213
King Richard the Third	Richard III of England	OK	1	392060
Guy Fawkes	Guy Fawkes	OK	1	190399
Oliver Cromwell	Oliver Cromwell	OK	1	379574
King Louis the Fourteenth	Louis XIV	OK	1	470440
Marie Antoinette	Marie Antoinette	OK	1	623064
Robespierre	Maximilien Robespierre	OK	1	217936
Marquis de Lafayette	Marquis de Lafayette	OK	1	281489
Napoleon	Napoleon	OK	1	925855
Horatio Nelson	Horatio Nelson, 1st Viscount Nelson	OK	1	176310
The Duke of Wellington	Arthur Wellesley, 1st Duke of Wellington	OK	1	245693
Catherine the Great	Catherine the Great	OK	1	434145
Peter the Great	Peter the Great	OK	1	208980
Frederick the Great	Frederick the Great	OK	1	171193
Rasputin	Grigori Rasputin	OK	1	444081
Nostradamus	Nostradamus	OK	1	145915
Casanova	Giacomo Casanova	OK	1	80791
Emperor Puyi	Puyi	OK	1	244665
Empress Dowager Cixi	Empress Dowager Cixi	OK	1	122836
Haile Selassie	Haile Selassie	OK	1	241173
Lawrence of Arabia	T. E. Lawrence	OK	1	348431
Mata Hari	Mata Hari	OK	1	157873
Marco Polo	Marco Polo	OK	1	164963
Christopher Columbus	Christopher Columbus	OK	1	512838
Ferdinand Magellan	Ferdinand Magellan	OK	1	184254
Vasco da Gama	Vasco da Gama	OK	1	167316
Hernán Cortés	Hernán Cortés	OK	1	168810
Francis Drake	Francis Drake	OK	1	182178
Walter Raleigh	Walter Raleigh	OK	1	104956
James Cook	James Cook	OK	1	206358
Ernest Shackleton	Ernest Shackleton	OK	1	159263
Roald Amundsen	Roald Amundsen	OK	1	73967
Edmund Hillary	Edmund Hillary	OK	1	138609
Tenzing Norgay	Tenzing Norgay	OK	1	127196
David Livingstone	David Livingstone	OK	1	87949
Jacques Cousteau	Jacques Cousteau	OK	1	107550
Thor Heyerdahl	Thor Heyerdahl	OK	1	45808
Ibn Battuta	Ibn Battuta	OK	1	100574
Zheng He	Zheng He	OK	1	69441
Blackbeard	Blackbeard	OK	1	352418
Anne Bonny	Anne Bonny	OK	1	133421
Davy Crockett	Davy Crockett	OK	1	189202
Daniel Boone	Daniel Boone	OK	1	157602
Johnny Appleseed	Johnny Appleseed	OK	1	92447
Buffalo Bill	Buffalo Bill	OK	1	112541
Annie Oakley	Annie Oakley	OK	1	84508
Calamity Jane	Calamity Jane	OK	1	156389
Wild Bill Hickok	Wild Bill Hickok	OK	1	176692
Wyatt Earp	Wyatt Earp	OK	1	296620
Doc Holliday	Doc Holliday	OK	1	275277
Jesse James	Jesse James	OK	1	205167
Billy the Kid	Billy the Kid	OK	1	423949
Butch Cassidy	Butch Cassidy	OK	1	102571
Ned Kelly	Ned Kelly	OK	1	168425
Pancho Villa	Pancho Villa	OK	1	133171
Emiliano Zapata	Emiliano Zapata	OK	1	90289
Simón Bolívar	Simón Bolívar	OK	1	192284
Toussaint Louverture	Toussaint Louverture	OK	1	86748
Santa Anna	Antonio López de Santa Anna	OK	1	103276
Paul Revere	Paul Revere	OK	1	151382
Betsy Ross	Betsy Ross	OK	1	63853
Benedict Arnold	Benedict Arnold	OK	1	318040
Aaron Burr	Aaron Burr	OK	1	288354
John Hancock	John Hancock	OK	1	141743
Al Capone	Al Capone	OK	1	466506
Lucky Luciano	Lucky Luciano	OK	1	279757
Bugsy Siegel	Bugsy Siegel	OK	1	191085
John Dillinger	John Dillinger	OK	1	204773
John Gotti	John Gotti	OK	1	445741
Pablo Escobar	Pablo Escobar	OK	1	675808
El Chapo	El Chapo	OK	1	559683
Charles Manson	Charles Manson	OK	1	1266639
Bernie Madoff	Bernie Madoff	OK	1	333840
Jordan Belfort	Jordan Belfort	OK	1	486199
Martin Shkreli	Martin Shkreli	OK	1	142712
Elizabeth Holmes	Elizabeth Holmes	OK	1	326109
Sam Bankman-Fried	Sam Bankman-Fried	OK	1	221347
Anna Delvey	Anna Delvey	OK	1	317900
O.J. Simpson	O. J. Simpson	OK	1	739943
Tonya Harding	Tonya Harding	OK	1	164686
George Washington	George Washington	OK	1	1387747
Thomas Jefferson	Thomas Jefferson	OK	1	731421
Benjamin Franklin	Benjamin Franklin	OK	1	579522
Alexander Hamilton	Alexander Hamilton	OK	1	731564
Andrew Jackson	Andrew Jackson	OK	1	406012
Abraham Lincoln	Abraham Lincoln	OK	1	935803
Ulysses S. Grant	Ulysses S. Grant	OK	1	547265
Theodore Roosevelt	Theodore Roosevelt	OK	1	1055258
Franklin Roosevelt	Franklin D. Roosevelt	OK	1	1028909
Eleanor Roosevelt	Eleanor Roosevelt	OK	1	277991
Harry Truman	Harry S. Truman	OK	1	582699
Dwight Eisenhower	Dwight D. Eisenhower	OK	1	911641
John F. Kennedy	John F. Kennedy	OK	1	1060182
Jackie Kennedy	Jacqueline Kennedy Onassis	OK	1	588036
Robert F. Kennedy	Robert F. Kennedy	OK	1	538324
Lyndon Johnson	Lyndon B. Johnson	OK	1	539650
Richard Nixon	Richard Nixon	OK	1	635898
Jimmy Carter	Jimmy Carter	OK	1	562781
Ronald Reagan	Ronald Reagan	OK	1	807813
George W. Bush	George W. Bush	OK	1	857162
Bill Clinton	Bill Clinton	OK	1	675932
Hillary Clinton	Hillary Clinton	OK	1	329695
Barack Obama	Barack Obama	OK	1	1452152
Michelle Obama	Michelle Obama	OK	1	342597
Donald Trump	Donald Trump	OK	1	3465723
Joe Biden	Joe Biden	OK	1	1033808
Kamala Harris	Kamala Harris	OK	1	389283
Bernie Sanders	Bernie Sanders	OK	1	479421
Nancy Pelosi	Nancy Pelosi	OK	1	263745
Alexandria Ocasio-Cortez	Alexandria Ocasio-Cortez	OK	1	943261
Sarah Palin	Sarah Palin	OK	1	220237
Dick Cheney	Dick Cheney	OK	1	282600
Colin Powell	Colin Powell	OK	1	188824
Condoleezza Rice	Condoleezza Rice	OK	1	177848
Michael Bloomberg	Michael Bloomberg	OK	1	225146
Douglas MacArthur	Douglas MacArthur	OK	1	319685
George Patton	George S. Patton	OK	1	372731
Winston Churchill	Winston Churchill	OK	1	814460
Margaret Thatcher	Margaret Thatcher	OK	1	656288
Tony Blair	Tony Blair	OK	1	368085
Boris Johnson	Boris Johnson	OK	1	498595
Charles de Gaulle	Charles de Gaulle	OK	1	341290
Otto von Bismarck	Otto von Bismarck	OK	1	223990
Kaiser Wilhelm	Wilhelm II	OK	1	300698
Vladimir Lenin	Vladimir Lenin	OK	1	491492
Joseph Stalin	Joseph Stalin	OK	1	774207
Nikita Khrushchev	Nikita Khrushchev	OK	1	294564
Mikhail Gorbachev	Mikhail Gorbachev	OK	1	401777
Karl Marx	Karl Marx	OK	1	495314
Benito Mussolini	Benito Mussolini	OK	1	612241
Francisco Franco	Francisco Franco	OK	1	371945
Fidel Castro	Fidel Castro	OK	1	396976
Che Guevara	Che Guevara	OK	1	780627
Augusto Pinochet	Augusto Pinochet	OK	1	184420
Hugo Chávez	Hugo Chávez	OK	1	137493
Eva Perón	Eva Perón	OK	1	295245
Mao Zedong	Mao Zedong	OK	1	547828
Ho Chi Minh	Ho Chi Minh	OK	1	229508
Mustafa Kemal Atatürk	Mustafa Kemal Atatürk	OK	1	245363
Gamal Abdel Nasser	Gamal Abdel Nasser	OK	1	157990
Saddam Hussein	Saddam Hussein	OK	1	519556
Muammar Gaddafi	Muammar Gaddafi	OK	1	582729
Nicolae Ceaușescu	Nicolae Ceaușescu	OK	1	239327
Emperor Hirohito	Hirohito	OK	1	370521
Shinzo Abe	Shinzo Abe	OK	1	187481
Mahatma Gandhi	Mahatma Gandhi	OK	1	594669
Indira Gandhi	Indira Gandhi	OK	1	446441
Nelson Mandela	Nelson Mandela	OK	1	520106
Desmond Tutu	Desmond Tutu	OK	1	101833
Angela Merkel	Angela Merkel	OK	1	163061
Silvio Berlusconi	Silvio Berlusconi	OK	1	137095
Justin Trudeau	Justin Trudeau	OK	1	693763
Imelda Marcos	Imelda Marcos	OK	1	108778
Bob Hawke	Bob Hawke	OK	1	41651
Rob Ford	Rob Ford	OK	1	174191
Kofi Annan	Kofi Annan	OK	1	95692
Giuseppe Garibaldi	Giuseppe Garibaldi	OK	1	141860
Xi Jinping	Xi Jinping	OK	1	541717
Kim Jong Un	Kim Jong Un	OK	1	517865
Narendra Modi	Narendra Modi	OK	1	843184
Emmanuel Macron	Emmanuel Macron	OK	1	484671
Giorgia Meloni	Giorgia Meloni	OK	1	737056
Recep Tayyip Erdoğan	Recep Tayyip Erdoğan	OK	1	306914
Javier Milei	Javier Milei	OK	1	570307
Jacinda Ardern	Jacinda Ardern	OK	1	143567
Queen Victoria	Queen Victoria	OK	1	1226998
King George the Third	George III	OK	1	672241
Queen Elizabeth the Second	Elizabeth II	OK	1	1562930
King Charles the Third	Charles III	OK	1	1412485
Princess Diana	Diana, Princess of Wales	OK	1	807779
Prince William	William, Prince of Wales	OK	1	721159
Prince Harry	Prince Harry, Duke of Sussex	OK	1	558078
Kate Middleton	Catherine, Princess of Wales	OK	1	386148
Meghan Markle	Meghan, Duchess of Sussex	OK	1	516340
Frederick Douglass	Frederick Douglass	OK	1	224835
Harriet Tubman	Harriet Tubman	OK	1	237733
Sojourner Truth	Sojourner Truth	OK	1	53965
Sitting Bull	Sitting Bull	OK	1	147845
Crazy Horse	Crazy Horse	OK	0	135338
Geronimo	Geronimo	OK	1	102233
Pocahontas	Pocahontas	OK	1	329020
Sacagawea	Sacagawea	OK	1	157337
Martin Luther King Jr.	Martin Luther King Jr.	OK	1	436446
Malcolm X	Malcolm X	OK	1	467883
Rosa Parks	Rosa Parks	OK	1	225780
Susan B. Anthony	Susan B. Anthony	OK	1	85573
Emmeline Pankhurst	Emmeline Pankhurst	OK	1	58447
